,Year Manufactured,Engine Capacity,Warranty,Mileage,Price
597,2013,2.0,0,94999.0,33800
598,2018,2.0,1,69999.0,149800
600,2019,2.0,0,19999.0,238800
601,2013,2.5,0,109999.0,50800
602,2012,2.0,0,84999.0,99800
603,2007,1.6,0,249999.0,7999
604,2017,1.5,1,94999.0,77200
605,2015,3.5,1,99999.0,103300
606,2018,2.0,1,49999.0,107900
607,2020,2.0,1,79999.0,132600
609,2013,1.2,0,79999.0,56800
610,2019,1.3,0,39999.0,179800
611,2012,2.0,0,74999.0,89800
612,2018,2.5,5,24999.0,275000
613,2019,2.0,5,24999.0,173000
614,2015,2.5,1,99999.0,51700
615,2019,1.5,1,59999.0,66600
616,2020,2.0,1,39999.0,214800
617,2020,2.5,1,44999.0,218800
618,2013,2.0,0,94999.0,69500
619,2021,2.0,5,4999.0,339800
621,2018,2.0,5,29999.0,288800
622,2017,1.5,0,89999.0,118800
623,2015,2.0,0,89999.0,136800
624,2016,2.0,0,79999.0,55800
625,2010,2.0,1,59999.0,29888
626,2013,2.5,0,109999.0,35800
627,2004,2.0,0,129999.0,11800
628,2011,2.0,0,94999.0,39800
629,2015,2.2,1,84999.0,55500
630,2017,2.0,1,109999.0,133800
632,2016,1.8,1,84999.0,63600
633,2015,2.0,1,34999.0,145000
634,2021,2.0,5,29999.0,313000
635,2022,2.5,5,14999.0,290000
636,2018,2.5,5,39999.0,209888
637,2019,2.5,5,24999.0,255888
638,2018,2.5,5,9999.0,255800
639,2018,2.0,0,44999.0,358000
640,2019,3.0,0,29999.0,285800
641,2017,2.0,3,69999.0,198000
642,1996,1.3,0,159999.0,4800
643,2020,3.0,0,59999.0,625000
644,2020,3.0,0,24999.0,305000
645,2019,3.0,0,49999.0,845000
646,2011,1.6,0,94999.0,15800
647,2023,4.7,0,4999.0,78600
648,2019,1.5,0,49999.0,58500
649,1996,2.8,0,79999.0,21300
650,2005,2.5,0,199999.0,7800
651,2005,2.0,1,169999.0,7800
652,2018,2.5,5,24999.0,248888
653,2012,3.0,0,109999.0,108800
654,2014,1.3,0,89999.0,26800
655,2011,1.3,0,94999.0,16800
656,2014,1.4,0,94999.0,28800
657,2013,1.5,0,94999.0,33800
658,2011,1.5,0,119999.0,26800
659,2019,2.0,1,44999.0,273888
660,2020,2.0,1,34999.0,108888
661,2023,6.4,0,4999.0,95600
662,2023,4.7,0,4999.0,78600
663,2023,6.9,0,4999.0,84600
664,2010,2.0,0,179999.0,23800
665,2020,2.0,2,29999.0,245888
666,2023,6.4,0,4999.0,95500
671,2015,2.5,0,109999.0,202800
672,2013,1.5,0,89999.0,22800
674,2019,1.6,1,44999.0,35800
675,2015,2.0,0,89999.0,56800
677,2017,1.2,0,89999.0,27800
681,2018,2.0,0,69999.0,139800
682,2019,2.5,1,24999.0,188888
683,2005,2.0,0,19999.0,21800
684,2010,4.8,0,94999.0,99800
685,2011,1.6,0,99999.0,16800
687,2021,2.0,5,24999.0,192888
689,2012,1.4,0,84999.0,30800
690,2010,3.5,0,94999.0,89900
696,2012,1.6,0,89999.0,19800
697,2013,1.5,0,79999.0,24800
698,2019,2.5,5,24999.0,229888
699,2020,4.4,1,19999.0,888000
700,2019,2.5,5,29999.0,198888
701,2019,2.5,1,29999.0,212888
702,2013,2.0,0,109999.0,39800
703,2018,2.5,1,34999.0,258888
704,2009,3.0,0,149999.0,33800
705,2016,5.2,1,9999.0,1280000
706,2005,2.0,0,109999.0,16800
709,2020,2.5,5,29999.0,208888
710,2016,4.2,0,249999.0,78800
711,2010,2.7,0,129999.0,55500
712,2015,2.8,0,129999.0,36500
716,2018,2.4,5,39999.0,145888
718,2016,2.8,0,179999.0,63500
719,2015,2.0,0,89999.0,68800
720,2019,2.5,5,24999.0,222888
721,2014,2.4,0,94999.0,59800
722,2016,1.5,0,129999.0,49800
723,2018,2.5,1,24999.0,233800
725,2022,5.2,0,4999.0,92600
727,2018,2.5,1,24999.0,213888
728,2018,2.5,1,29999.0,248888
729,2019,5.0,1,24999.0,293888
730,2016,2.5,5,94999.0,42999
733,2013,1.4,0,109999.0,58800
734,2013,1.7,1,94999.0,59800
735,2019,2.0,1,29999.0,438000
736,2020,2.0,1,14999.0,328000
737,2018,2.0,1,44999.0,318000
738,2019,1.3,1,29999.0,218000
739,2022,4.0,0,4999.0,91600
740,2022,3.0,0,4999.0,97000
743,2017,1.2,0,119999.0,36800
745,2016,4.2,0,179999.0,78800
746,2022,5.0,0,79999.0,108000
747,2015,2.5,0,99999.0,49800
748,2022,5.2,0,4999.0,93600
749,2014,2.2,0,99999.0,39800
750,2015,3.0,0,74999.0,298000
751,2022,6.4,0,4999.0,93600
752,1992,970.0,0,79999.0,43000
753,2020,2.5,5,24999.0,212888
754,2013,1.3,0,79999.0,18800
757,2017,3.0,0,54999.0,388000
758,2022,5.2,0,4999.0,148000
759,2022,8.8,0,4999.0,148000
760,2012,1.8,0,149999.0,68800
761,2016,4.0,0,24999.0,588000
762,2017,2.0,0,89999.0,177800
763,2011,2.5,0,109999.0,22800
764,2017,2.0,0,79999.0,139800
766,2015,3.0,0,34999.0,278000
767,2017,2.0,0,89999.0,163000
